filepaths,labels,data set,LABELS
train/baseball/001.jpg,baseball,train,0
train/baseball/002.jpg,baseball,train,0
train/baseball/003.jpg,baseball,train,0
train/baseball/004.jpg,baseball,train,0
train/baseball/005.jpg,baseball,train,0
train/baseball/006.jpg,baseball,train,0
train/baseball/007.jpg,baseball,train,0
train/baseball/008.jpg,baseball,train,0
train/baseball/009.jpg,baseball,train,0
train/baseball/010.jpg,baseball,train,0
train/baseball/011.jpg,baseball,train,0
train/baseball/012.jpg,baseball,train,0
train/baseball/013.jpg,baseball,train,0
train/baseball/014.jpg,baseball,train,0
train/baseball/015.jpg,baseball,train,0
train/baseball/016.jpg,baseball,train,0
train/baseball/017.jpg,baseball,train,0
train/baseball/018.jpg,baseball,train,0
train/baseball/019.jpg,baseball,train,0
train/baseball/020.jpg,baseball,train,0
train/baseball/021.jpg,baseball,train,0
train/baseball/022.jpg,baseball,train,0
train/baseball/023.jpg,baseball,train,0
train/baseball/024.jpg,baseball,train,0
train/baseball/025.jpg,baseball,train,0
train/baseball/026.jpg,baseball,train,0
train/baseball/027.jpg,baseball,train,0
train/baseball/028.jpg,baseball,train,0
train/baseball/029.jpg,baseball,train,0
train/baseball/030.jpg,baseball,train,0
train/baseball/031.jpg,baseball,train,0
train/baseball/032.jpg,baseball,train,0
train/baseball/033.jpg,baseball,train,0
train/baseball/034.jpg,baseball,train,0
train/baseball/035.jpg,baseball,train,0
train/baseball/036.jpg,baseball,train,0
train/baseball/037.jpg,baseball,train,0
train/baseball/038.jpg,baseball,train,0
train/baseball/039.jpg,baseball,train,0
train/baseball/040.jpg,baseball,train,0
train/baseball/041.jpg,baseball,train,0
train/baseball/042.jpg,baseball,train,0
train/baseball/043.jpg,baseball,train,0
train/baseball/044.jpg,baseball,train,0
train/baseball/045.jpg,baseball,train,0
train/baseball/046.jpg,baseball,train,0
train/baseball/047.jpg,baseball,train,0
train/baseball/048.jpg,baseball,train,0
train/baseball/049.jpg,baseball,train,0
train/baseball/050.jpg,baseball,train,0
train/baseball/051.jpg,baseball,train,0
train/baseball/052.jpg,baseball,train,0
train/baseball/053.jpg,baseball,train,0
train/baseball/054.jpg,baseball,train,0
train/baseball/055.jpg,baseball,train,0
train/baseball/056.jpg,baseball,train,0
train/baseball/057.jpg,baseball,train,0
train/baseball/058.jpg,baseball,train,0
train/baseball/059.jpg,baseball,train,0
train/baseball/060.jpg,baseball,train,0
train/baseball/061.jpg,baseball,train,0
train/baseball/062.jpg,baseball,train,0
train/baseball/063.jpg,baseball,train,0
train/baseball/064.jpg,baseball,train,0
train/baseball/065.jpg,baseball,train,0
train/baseball/066.jpg,baseball,train,0
train/baseball/067.jpg,baseball,train,0
train/baseball/068.jpg,baseball,train,0
train/baseball/069.jpg,baseball,train,0
train/baseball/070.jpg,baseball,train,0
train/baseball/071.jpg,baseball,train,0
train/baseball/072.jpg,baseball,train,0
train/baseball/073.jpg,baseball,train,0
train/baseball/074.jpg,baseball,train,0
train/baseball/075.jpg,baseball,train,0
train/baseball/076.jpg,baseball,train,0
train/baseball/077.jpg,baseball,train,0
train/baseball/078.jpg,baseball,train,0
train/baseball/079.jpg,baseball,train,0
train/baseball/080.jpg,baseball,train,0
train/baseball/081.jpg,baseball,train,0
train/baseball/082.jpg,baseball,train,0
train/baseball/083.jpg,baseball,train,0
train/baseball/084.jpg,baseball,train,0
train/baseball/085.jpg,baseball,train,0
train/baseball/086.jpg,baseball,train,0
train/baseball/087.jpg,baseball,train,0
train/baseball/088.jpg,baseball,train,0
train/baseball/089.jpg,baseball,train,0
train/baseball/090.jpg,baseball,train,0
train/baseball/091.jpg,baseball,train,0
train/baseball/092.jpg,baseball,train,0
